Estado,P25,P50,P75
AGS,2.9,,
BC,3.2,3.4,3.6
BCS,1.6,2.2,3.7
CAMP,,,4.7
CDMX,1.4,1.9,2.5
CHIH,2.9,3.7,4.0
CHIS,3.5,3.8,4.0
COAH,3.7,3.8,4.0
COL,3.2,3.4,3.6
DGO,3.7,3.9,4.2
GRO,3.3,3.5,3.7
GTO,3.6,3.7,3.9
HGO,2.4,2.8,3.2
JAL,3.3,3.5,3.7
MEX,1.8,2.8,3.4
MICH,3.5,3.6,3.8
MOR,3.3,3.5,3.7
N,,,
NAY,3.7,3.8,4.0
NL,3.4,3.6,3.7
OAX,3.4,3.6,3.8
PUE,3.1,3.4,3.6
QR,,,4.4
QRO,,,
SIN,3.7,3.9,4.2
SLP,3.6,3.8,3.9
SON,3.5,3.7,3.9
TAB,,3.7,4.0
TAMS,3.5,3.7,3.8
TLAX,3.2,3.6,3.7
VER,3.4,3.7,3.9
YUC,,,
ZAC,1.2,1.5,1.9
