Estado,Mes,Sismos de 6 o más
BC,2,1
BC,4,1
BC,5,1
BC,6,1
BC,10,1
BC,11,3
BC,12,2
BCS,1,1
BCS,3,1
BCS,4,4
BCS,5,2
BCS,6,4
BCS,7,1
BCS,8,1
BCS,9,1
BCS,10,6
BCS,11,1
BCS,12,3
CHIH,11,1
CHIS,1,6
CHIS,2,4
CHIS,3,5
CHIS,4,6
CHIS,5,5
CHIS,6,6
CHIS,7,4
CHIS,8,4
CHIS,9,9
CHIS,10,6
CHIS,11,6
CHIS,12,10
COL,1,1
COL,4,1
COL,6,1
COL,7,1
COL,9,1
COL,10,2
COL,12,1
GRO,1,6
GRO,2,2
GRO,3,5
GRO,4,5
GRO,5,6
GRO,6,3
GRO,7,6
GRO,9,4
GRO,10,4
GRO,11,3
GRO,12,7
JAL,1,4
JAL,2,1
JAL,4,1
JAL,5,5
JAL,6,3
JAL,8,2
JAL,9,1
JAL,10,2
JAL,11,3
JAL,12,1
MEX,11,1
MICH,1,3
MICH,4,4
MICH,6,4
MICH,7,1
MICH,8,2
MICH,9,3
MICH,10,2
NAY,12,1
OAX,1,4
OAX,2,5
OAX,3,1
OAX,4,2
OAX,5,1
OAX,6,5
OAX,7,4
OAX,8,4
OAX,9,4
OAX,10,1
OAX,11,3
OAX,12,5
PUE,2,1
PUE,6,1
PUE,9,1
PUE,10,2
QR,8,1
SIN,3,1
SIN,5,1
SIN,6,2
SIN,8,2
SIN,9,1
SIN,11,1
SIN,12,1
SON,1,1
SON,2,1
SON,3,1
SON,5,2
SON,6,1
SON,7,3
SON,8,1
SON,9,1
SON,11,1
VER,1,1
VER,4,2
VER,6,1
VER,7,2
VER,8,3
VER,11,1
