Magnitud,Latitud,Longitud,Profundidad,Estatus,Fecha Hora,Fecha Hora UTC,Estado,Referencia Distancia,Referencia Direccion,Referencia Localidad
7.4,20.0,-105.0,33.0,revisado,1900-01-20 00:33:30,1900-01-20 06:33:30,JAL,71,NOROESTE,AUTLAN DE NAVARRO
6.9,20.0,-105.0,33.0,revisado,1900-05-16 14:12:00,1900-05-16 20:12:00,JAL,71,NOROESTE,AUTLAN DE NAVARRO
6.9,25.0,-110.0,33.0,revisado,1901-03-05 04:45:00,1901-03-05 10:45:00,BCS,100,NORESTE,LA PAZ
7.0,26.0,-110.0,33.0,revisado,1901-12-08 20:17:00,1901-12-09 02:17:00,SIN,83,OESTE,AHOME
7.0,17.6,-99.7,33.0,revisado,1902-01-16 17:19:00,1902-01-16 23:19:00,GRO,21,OESTE,ZUMPANGO DEL RIO
7.5,14.9,-91.5,25.0,revisado,1902-04-18 20:23:00,1902-04-19 02:23:00,CHIS,72,ESTE,CACAHOATAN
7.7,16.5,-92.5,25.0,revisado,1902-09-23 14:18:00,1902-09-23 20:18:00,CHIS,5,SUROESTE,TEOPISCA
7.1,29.0,-114.0,33.0,revisado,1902-12-12 17:10:00,1902-12-12 23:10:00,BCS,115,NORTE,GUERRERO NEGRO
7.6,15.0,-93.0,33.0,revisado,1903-01-13 19:47:36,1903-01-14 01:47:36,CHIS,50,SUR,MAPASTEPEC
6.6,20.0,-110.0,33.0,revisado,1905-10-24 11:40:00,1905-10-24 17:40:00,BCS,320,SUR,CABO SAN LUCAS
7.1,17.0,-113.0,33.0,revisado,1905-12-16 23:27:00,1905-12-17 05:27:00,BCS,727,SUROESTE,CABO SAN LUCAS
7.1,20.0,-110.0,33.0,revisado,1906-04-10 15:18:00,1906-04-10 21:18:00,BCS,320,SUR,CABO SAN LUCAS
7.6,16.7,-99.2,33.0,revisado,1907-04-15 00:08:06,1907-04-15 06:08:06,GRO,23,SURESTE,SAN MARCOS
7.1,28.0,-112.5,10.0,revisado,1907-10-16 08:57:18,1907-10-16 14:57:18,BCS,77,NOROESTE,SANTA ROSALIA
7.5,16.7,-99.2,33.0,revisado,1908-03-26 17:03:30,1908-03-26 23:03:30,GRO,23,SURESTE,SAN MARCOS
7.0,17.0,-101.0,33.0,revisado,1908-03-26 21:45:30,1908-03-27 03:45:30,GRO,46,SUROESTE,TECPAN
6.9,18.0,-102.0,33.0,revisado,1908-10-12 23:06:00,1908-10-13 05:06:00,MICH,23,ESTE,LAS GUACAMAYAS
7.2,16.8,-99.9,33.0,revisado,1909-07-30 04:51:54,1909-07-30 10:51:54,GRO,8,SUR,ACAPULCO
6.9,16.6,-99.5,33.0,revisado,1909-07-31 12:43:10,1909-07-31 18:43:10,GRO,20,SUROESTE,SAN MARCOS
6.6,16.5,-99.7,33.0,revisado,1909-09-05 05:17:20,1909-09-05 11:17:20,GRO,42,SURESTE,ACAPULCO
6.9,17.0,-101.2,33.0,revisado,1909-10-31 04:23:00,1909-10-31 10:23:00,GRO,60,SUR,PETATLAN
6.5,16.7,-99.2,33.0,revisado,1910-05-30 22:19:19,1910-05-31 04:19:19,GRO,23,SURESTE,SAN MARCOS
7.6,17.5,-102.5,33.0,revisado,1911-06-07 05:02:42,1911-06-07 11:02:42,MICH,59,SUROESTE,CD LAZARO CARDENAS
7.5,16.9,-100.7,50.0,revisado,1911-12-16 13:14:18,1911-12-16 19:14:18,GRO,36,SUR,TECPAN
7.0,15.5,-93.0,33.0,revisado,1912-12-09 02:32:24,1912-12-09 08:32:24,CHIS,13,NOROESTE,MAPASTEPEC
7.0,32.0,-115.0,10.0,revisado,1915-11-20 18:13:22,1915-11-21 00:13:22,BC,33,SURESTE,GPE VICTORIA(KM.43)
6.8,18.0,-100.0,33.0,revisado,1916-11-21 00:25:24,1916-11-21 06:25:24,GRO,43,SUROESTE,TELOLOAPAN
6.9,15.0,-97.0,33.0,revisado,1917-12-29 16:50:20,1917-12-29 22:50:20,OAX,96,SUR,PUERTO ESCONDIDO
6.8,27.0,-111.0,33.0,revisado,1918-05-23 05:57:30,1918-05-23 11:57:30,SON,102,SUR,H GUAYMAS
6.6,18.7,-103.3,33.0,revisado,1918-06-07 15:27:06,1918-06-07 21:27:06,MICH,17,SUROESTE,COALCOMAN
6.9,14.5,-91.8,33.0,revisado,1919-04-17 14:53:03,1919-04-17 20:53:03,CHIS,48,SURESTE,CD HIDALGO
6.5,18.2,-103.3,33.0,revisado,1921-04-21 14:01:36,1921-04-21 20:01:36,MICH,65,SUR,COALCOMAN
6.7,24.0,-108.5,33.0,revisado,1922-06-11 22:47:44,1922-06-12 04:47:44,SIN,117,SUROESTE,NAVOLATO
7.0,18.0,-107.0,33.0,revisado,1925-11-16 05:54:54,1925-11-16 11:54:54,JAL,291,SUROESTE,CIHUATLAN
7.0,15.5,-92.5,33.0,revisado,1925-12-10 08:14:42,1925-12-10 14:14:42,CHIS,31,NOROESTE,MOTOZINTLA
7.5,15.7,-96.1,33.0,revisado,1928-03-21 22:17:30,1928-03-22 04:17:30,OAX,12,SURESTE,CRUCECITA
7.6,16.3,-96.7,33.0,revisado,1928-06-16 21:19:28,1928-06-17 03:19:28,OAX,11,OESTE,MIAHUATLAN
7.4,16.8,-97.6,33.0,revisado,1928-08-04 12:28:17,1928-08-04 18:28:17,OAX,49,SUR,H TLAXIACO
